文件名,目标数,资源数,挂载-载荷对数,目标值,求解时间(秒),总时间(秒),变量数,约束数,未覆盖目标数,目标覆盖率(%),求解状态,是否成功
dataset_split_info.json,0,0,0,0.00,0.00,0.00,0,0,0,0.0,Exception: [json.exception.type_error.305] cannot use operator[] with a string argument with null,否
scenario_100_T19_R222.json,19,222,14,0.00,0.20,6.06,66663,63633,0,100.0,Optimal,是
scenario_101_T78_R800.json,78,800,15,0.00,3.37,8.58,1011648,953814,0,100.0,Optimal,是
scenario_102_T70_R800.json,70,800,13,0.00,2.92,6.97,795380,743517,0,100.0,Optimal,是
scenario_103_T77_R800.json,77,800,14,0.00,3.98,8.93,936355,879112,0,100.0,Optimal,是
scenario_104_T13_R152.json,13,152,12,0.00,0.11,0.29,27681,26465,0,100.0,Optimal,是
scenario_105_T33_R385.json,33,385,15,0.00,1.47,2.50,209583,199091,0,100.0,Optimal,是
scenario_106_T49_R572.json,49,572,14,0.00,2.54,4.70,429163,404243,0,100.0,Optimal,是
scenario_107_T60_R701.json,60,701,15,0.00,3.08,6.65,684435,646366,0,100.0,Optimal,是
scenario_108_T21_R245.json,21,245,15,0.00,0.21,0.70,86331,82593,0,100.0,Optimal,是
scenario_109_T33_R385.json,33,385,15,0.00,1.55,2.53,209583,199055,0,100.0,Optimal,是
