场景类别,算法名称,场景数,可行解数,成功率(%),最优算法比例(%),平均最小成本,平均最小时间,平均覆盖率(%),平均资源使用率(%),平均差异度,平均计算时间(s),历史最优成本,历史最优时间,历史最高覆盖率(%)
A_Small_Exact,Greedy_Time,45,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A_Small_Exact,Greedy_Cost,45,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A_Small_Exact,Greedy_Difference,45,9,20,15.6,38.81,0.69,91.4,41.6,0,0.014,16.86,0.5,100
A_Small_Exact,NSGAII,45,45,100,37.8,31.92,0.67,95,38,0,0.407,6.57,0.29,100
A_Small_Exact,Exact_Time,45,45,100,46.7,24.56,0.7,100,39.8,0,0.927,7.27,0.29,100
A_Small_Exact,Exact_Cost,45,45,100,0,24.56,0.7,100,39.8,0,0.175,7.27,0.29,100
,,,,,100.1,,,,,,,,,
B_Medium_MultiObjective,Greedy_Time,29,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B_Medium_MultiObjective,Greedy_Cost,29,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B_Medium_MultiObjective,Greedy_Difference,29,5,17.2,6.9,116.88,0.78,99.4,51.7,0,0.054,81.08,0.65,100
B_Medium_MultiObjective,NSGAII,29,29,100,41.4,82.98,0.72,99.9,41.3,0,1.372,49.68,0.46,100
B_Medium_MultiObjective,Exact_Time,29,16,55.2,51.7,48.76,0.73,100,39.1,0,3.017,39.78,0.47,100
B_Medium_MultiObjective,Exact_Cost,29,16,55.2,0,48.76,0.73,100,39.1,0,1.312,39.78,0.47,100
,,,,,100,,,,,,,,,
C_Large_Heuristic,Greedy_Time,107,48,44.9,5.6,233.7,0.73,100,40.6,0,0.287,180.12,0.52,100
C_Large_Heuristic,Greedy_Cost,107,48,44.9,37.4,150.84,0.78,100,40.6,0,0.285,110.43,0.52,100
C_Large_Heuristic,Greedy_Difference,107,28,26.2,18.7,241.31,0.74,97.9,50.3,0,0.303,102.82,0.52,100
C_Large_Heuristic,NSGAII,107,66,61.7,38.3,132.6,0.77,100,39.1,0,3.102,74.84,0.45,100
C_Large_Heuristic,Exact_Time,107,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C_Large_Heuristic,Exact_Cost,107,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,100,,,,,,,,,
